December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,07-187 1,29792.svs,Hematoxylin & Eosin,1388,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Suspect Montastraeadiscoloring/denuding disease, damaged tissue?",1-Yellow,,Florida Keys Disease Course: Discoloring/Denuding Disease,"Jaap Reef, FKNMS, 10-ft.",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,07-190 1,29793.svs,Hematoxylin & Eosin,1389,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Suspect Montastraeadiscoloring/denuding disease, damaged tissue?",2-Yellow,,Florida Keys Disease Course: Discoloring/Denuding Disease,"Jaap Reef, FKNMS, 10-ft.",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,07-188-2 1,30231.svs,Hematoxylin & Eosin,1438,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Suspect Montastraeadiscoloring/denuding disease, fouled tissue margin",1-Red,,Florida Keys Disease Course: Discoloring/Denuding Disease,"Jaap Reef, FKNMS, 10-ft.",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,07-191-5,29795.svs,Hematoxylin & Eosin,1390,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Suspect Montastraeadiscoloring/denuding disease, fouled tissue margin",2-Red,,Florida Keys Disease Course: Discoloring/Denuding Disease,"Jaap Reef, FKNMS, 10-ft.",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,08-228-2 1,29796.svs,Hematoxylin & Eosin,1391,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Black, Red, & Yellow Labels, from lower sampled location on colony, sagittal section",no #,,Florida Keys Disease Course: Discoloring/Denuding Disease,"Sugarloaf Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,08-228-2,29797.svs,Hematoxylin & Eosin,1392,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Black, Red, & Yellow Labels, from lower sampled location on colony, transverse section",no #,,Florida Keys Disease Course: Discoloring/Denuding Disease,"Sugarloaf Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Montastraea,faveolata,,,08-228-2,29798.svs,Cason's Trichrome,1393,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Black, Red, & Yellow Labels, from lower sampled location on colony, transverse section",no #,,Florida Keys Disease Course: Discoloring/Denuding Disease,"Sugarloaf Reef, Florida Keys",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-106 1 A,29799.svs,Hematoxylin & Eosin,1394,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Fouled, see post-fixed photo, aspergillosis and labyrinthulid",1A,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #40, 10-ft",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-107 A,30233.svs,Hematoxylin & Eosin,1439,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Healthy, spermaries",1B,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #41",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-108 A,30237.svs,Hematoxylin & Eosin,1440,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Fouled, see post-fixed photo, loss of polyps",1C,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #42",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-110 1,30240.svs,Hematoxylin & Eosin,1441,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Fouled, see post-fixed photo",2B,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #44",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-111 A,29814.svs,Hematoxylin & Eosin,1397,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Aspergillosis, melanization, labyrinthulid",2C,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #45",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-112 1 B,30282.svs,Periodic Acid-Schiff/Alcian Blue,1442,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Fouled, algae and fungi",3A,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #46",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-113 1 A,29829.svs,Hematoxylin & Eosin,1399,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Fouled, algae and fungi",3B,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #47",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-113 1 B,29837.svs,Cason's Trichrome,1401,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Fouled, algae and fungi",3B,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #47",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-113 2 2,30289.svs,Periodic Acid-Schiff/Alcian Blue,1443,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Fouled, algae and fungi",3B,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #47",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-114 1 1,30316.svs,Hematoxylin & Eosin,1444,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Fouled, algae and fungi",3C,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #48",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-114 1 2,30468.svs,Cason's Trichrome,1458,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Fouled, algae and fungi",3C,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #48",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-114 2 2,30325.svs,Periodic Acid-Schiff/Alcian Blue,1445,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal","Fouled, algae and fungi",3C,,Florida Keys Disease Course:  Sea Fan Health,"Looe Existing Management Area, Buoy #48",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-115 1,30332.svs,Hematoxylin & Eosin,1446,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal",Hydroids in sea fan,A,,Florida Keys Disease Course:  Sea Fan Health,"Billy's Reef, FKNMS",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-115 2,30388.svs,Periodic Acid-Schiff/Alcian Blue,1457,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal",Hydroids in sea fan,A,,Florida Keys Disease Course:  Sea Fan Health,"Billy's Reef, FKNMS",,,
December 2010 from Peters.xlsx,Slides Info,GMU,Esther Peters,Gorgonia,ventalina,,,07-115-1 2,30337.svs,Cason's Trichrome,1447,,"Z-Fix:seawater (1:4), 10% EDTA pH 7 decal",Hydroids in sea fan,A,,Florida Keys Disease Course:  Sea Fan Health,"Billy's Reef, FKNMS",,,
