Source,Contributor,Genus,Species,Slide Number/Description,Aperio Filename,Stain,Accession Number,Processing,Comments,Date Collected,Date Received,Date Sent To Aperio,Sample,Infect/Non,Study,Collection Site,Histopathologic Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,29,Astreo 29.svs,Steiner,2007Stain030,,"Astreo Dis. A
Steiner 1 2/22/07",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,34,Astreo 34.svs,Bodian,2007Stain031,,"Astreo Dis. A
Bodian",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,39,Astreo 39.svs,Movat,2007Stain032,,"Astreo Dis. A
Movat",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,44,Astreo 44.svs,Schmorl,2007Stain033,,"Astreo Dis. A
Schmorl",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,49,Astreo 49.svs,MGP,2007Stain034,,"Astreo Dis. A
MGP",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,54,Astreo 54.svs,Gram Twort,2007Stain035,,"Astreo Dis. A
Gram Twort",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,59,Astreo 59.svs,B&B,2007Stain036,,"Astreo Dis. A
B&B",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,1,Astreo Dis A 01.svs,H&E,2007Stain037,,"Astreo Dis. A
H&E",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Astreopora,myriophthalma,2,Astreo Dis A 02.svs,Steiner,2007Stain038,,"Astreo Dis. A
Steiner ",,,2007-07-18,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,Cheryl Woodley,Echinopora,gemmacea,7,Echino 07.svs,Iron,2007Stain039,,"Echino Healthy
Iron",,,2007-07-18,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
